epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,0.2841186993631224,0.8691666666666666,0.1463984033636128,0.9733333333333334,0.969690846635684
2,0.07686653922156741,0.9816666666666667,0.13372861608241995,0.98,0.9773857982813207
3,0.05135171974931533,0.99,0.14663342373445631,0.9733333333333334,0.969690846635684
4,0.0428376339476866,0.9908333333333333,0.1726849166948038,0.9733333333333334,0.969690846635684
5,0.032853368633271506,0.9925,0.16996287561332185,0.9733333333333334,0.969690846635684
6,0.037109036759162946,0.9933333333333333,0.13616447913848484,0.98,0.9773857982813207
7,0.02059424887644127,0.9966666666666667,0.17938448091658454,0.9733333333333334,0.969690846635684
8,0.019322519195266067,0.9966666666666667,0.1468961882404983,0.98,0.9773857982813207
9,0.015902893843594938,0.9975,0.14840540849099246,0.98,0.9773857982813207
10,0.01113098868401721,0.9983333333333333,0.14989076874994983,0.98,0.9773857982813207
